3	0.00002486	ntvdm.exe	IRP_MJ_WRITE	Serial1	SUCCESS	Length 3: 51 53 0D 	
14	0.00000335	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 2: 30 0D 	
25	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 31 	
30	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 2C 	
36	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 46 	
41	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 46 	
46	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 33 	
51	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 41 	
56	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 32 	
61	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 32 	
66	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 35 	
71	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 46 	
76	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
81	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
92	0.00000251	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 43 	
97	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 46 	
105	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 33 	
110	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 45 	
115	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 31 	
120	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
125	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
130	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
135	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
140	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 43 	
145	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
151	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 34 	
