## Fluke scopemeter waveform capture - generated with ScopeGrab32 v2.1 alpha
## wave downloaded 2005-04-23 23:23:26
## SM model: ScopeMeter model 97   V4.02   92-11-03
## data in decimal notation (use find/replace . to , if necessary)

Channel A

V offset:;0.000000;s offset:;-0.000400;
delta V:;0.002000;delta s:;0.000008
V divs:;255;s divs:;512

V range;min:;-0.256000;max:;0.256000
s range;min:;-0.000400;max:;0.003688

s;V
-0.000400;0.004000
-0.000392;0.006000
-0.000384;0.002000
-0.000376;0.002000
-0.000368;0.000000
-0.000360;0.000000
-0.000352;0.000000
-0.000344;0.002000
-0.000336;-0.002000
-0.000328;0.000000
-0.000320;0.004000
-0.000312;-0.002000
-0.000304;0.002000
-0.000296;0.002000
-0.000288;0.000000
-0.000280;0.004000
-0.000272;0.004000
-0.000264;0.000000
-0.000256;0.004000
-0.000248;0.000000
-0.000240;-0.002000
-0.000232;0.002000
-0.000224;0.000000
-0.000216;0.000000
-0.000208;0.002000
-0.000200;0.002000
-0.000192;0.000000
-0.000184;0.004000
-0.000176;0.004000
-0.000168;-0.002000
-0.000160;0.002000
-0.000152;0.006000
-0.000144;-0.002000
-0.000136;0.004000
-0.000128;0.002000
-0.000120;0.002000
-0.000112;0.006000
-0.000104;0.006000
-0.000096;0.000000
-0.000088;0.000000
-0.000080;0.000000
-0.000072;0.004000
-0.000064;0.004000
-0.000056;0.004000
-0.000048;0.002000
-0.000040;0.002000
-0.000032;0.000000
-0.000024;0.004000
-0.000016;0.002000
-0.000008;0.000000
-0.000000;0.008000
0.000008;0.000000
0.000016;0.000000
0.000024;0.000000
0.000032;0.002000
0.000040;0.000000
0.000048;0.002000
0.000056;0.000000
0.000064;0.000000
0.000072;0.000000
0.000080;0.002000
0.000088;0.002000
0.000096;0.000000
0.000104;0.004000
0.000112;0.000000
0.000120;0.002000
0.000128;0.006000
0.000136;0.000000
0.000144;0.000000
0.000152;0.004000
0.000160;0.002000
0.000168;-0.002000
0.000176;0.006000
0.000184;0.002000
0.000192;0.000000
0.000200;0.002000
0.000208;0.006000
0.000216;0.002000
0.000224;0.002000
0.000232;0.004000
0.000240;0.002000
0.000248;0.000000
0.000256;0.002000
0.000264;0.004000
0.000272;0.004000
0.000280;0.004000
0.000288;0.004000
0.000296;0.014000
0.000304;0.006000
0.000312;0.008000
0.000320;0.010000
0.000328;0.006000
0.000336;0.006000
0.000344;0.006000
0.000352;0.006000
0.000360;-0.004000
